"","assign"
"768","488"
"769","488"
"770","488"
"771","488"
"772","488"
"773","488"
"774","488"
"775","488"
"776","488"
"777","488"
"778","488"
"779","488"
"780","489"
"781","489"
"782","489"
"783","489"
"784","489"
"785","489"
"786","489"
"787","489"
"788","489"
"789","489"
"790","489"
"791","489"
"792","489"
"793","489"
"794","489"
"795","494"
"796","494"
"797","494"
"798","494"
"799","494"
"800","494"
"801","494"
"802","601"
"803","601"
"804","601"
"805","684"
"806","601"
"807","601"
"808","601"
"809","601"
"810","601"
"811","684"
"812","601"
"813","601"
"814","601"
"815","601"
"816","601"
"817","601"
"818","601"
"819","601"
"820","601"
"821","601"
"822","601"
"823","601"
"824","601"
"825","601"
"826","684"
"827","601"
"828","601"
"829","606"
"830","601"
"831","601"
"832","601"
"833","601"
"834","617"
"835","601"
"836","684"
"837","602"
"838","601"
"839","602"
"840","625"
"841","607"
"842","601"
"843","602"
"844","602"
"845","602"
"846","606"
"847","606"
"848","606"
"849","606"
"850","684"
"851","606"
"852","606"
"853","606"
"854","606"
"855","677"
"856","607"
"857","622"
"858","607"
"859","622"
"860","607"
"861","607"
"862","607"
"863","607"
"864","684"
"865","607"
"866","618"
"867","607"
"868","684"
"869","613"
"870","608"
"871","608"
"872","613"
"873","622"
"874","608"
"875","611"
"876","611"
"877","601"
"878","611"
"879","611"
"880","611"
"881","611"
"882","602"
"883","611"
"884","601"
"885","612"
"886","601"
"887","601"
"888","601"
"889","625"
"890","612"
"891","612"
"892","625"
"893","612"
"894","612"
"895","613"
"896","607"
"897","613"
"898","613"
"899","607"
"900","622"
"901","613"
"902","613"
"903","613"
"904","607"
"905","615"
"906","615"
"907","601"
"908","615"
"909","615"
"910","601"
"911","615"
"912","684"
"913","615"
"914","601"
"915","616"
"916","601"
"917","601"
"918","616"
"919","684"
"920","601"
"921","602"
"922","601"
"923","601"
"924","612"
"925","684"
"926","684"
"927","608"
"928","618"
"929","617"
"930","617"
"931","617"
"932","611"
"933","617"
"934","684"
"935","618"
"936","618"
"937","618"
"938","622"
"939","618"
"940","618"
"941","608"
"942","618"
"943","618"
"944","619"
"945","618"
"946","625"
"947","684"
"948","619"
"949","684"
"950","619"
"951","619"
"952","684"
"953","601"
"954","622"
"955","619"
"956","617"
"957","622"
"958","622"
"959","622"
"960","613"
"961","622"
"962","622"
"963","684"
"964","684"
"965","619"
"966","601"
"967","625"
"968","602"
"969","625"
"970","625"
"971","625"
"972","625"
"973","625"
"974","629"
"975","629"
"976","54"
"977","54"
"978","54"
"979","629"
"980","629"
"981","629"
"982","629"
"983","54"
"984","677"
"985","601"
"986","677"
"987","601"
"988","677"
"989","684"
"990","677"
"991","677"
"992","611"
"993","677"
"994","677"
"995","684"
"996","616"
"997","684"
"998","684"
"999","684"
"1000","615"
"1001","684"
"1002","617"
"1003","684"
"1004","684"
"1005","684"
"1006","684"
"1007","601"
