"","posterior.1","posterior.10","posterior.11","posterior.12","posterior.13","posterior.14","posterior.2","posterior.3","posterior.4","posterior.5","posterior.6","posterior.7","posterior.8","posterior.9"
"Taiwan_7027",5.33248651816032e-40,4.95645513561486e-06,0.999995043442112,1.10950770661603e-12,1.30474034488925e-23,1.95082782922079e-23,7.45412581401263e-32,1.2174348880748e-27,5.10515095907623e-20,9.81472184606868e-11,1.90551053114145e-12,8.53597000509063e-14,1.50471925636914e-12,4.39475051302113e-16
"Taiwan_7028",7.62438302080056e-37,1.76082034661862e-08,0.999999982375713,1.4153883767172e-11,7.33848917551425e-19,3.59015761272192e-18,3.7371381564925e-30,5.16924481805949e-24,1.46255187005282e-17,1.47016646582084e-12,2.5888677890481e-13,1.45505079852076e-14,1.85774693853925e-13,6.77609691276594e-20
"Taiwan_7031",8.35606227137969e-25,0.0197752160935769,0.980221110966605,2.91432685553772e-12,4.73914282753016e-23,1.54474612183015e-23,1.1839777395047e-18,7.11195407210947e-17,4.32577172996275e-11,1.86569811786794e-08,2.83667410434265e-06,2.55916782811032e-07,5.6068325690202e-07,9.62520644653422e-10
"Taiwan_7033",5.03239923636579e-29,0.00030552642699758,0.999692864305146,8.10172804738774e-07,4.81399298229175e-17,1.52196801836102e-16,3.06116873649935e-23,8.67100727751754e-16,1.7154599171434e-10,4.21498637095831e-07,2.5017461405276e-07,9.24060296562876e-09,1.18009625717306e-07,2.45299720954927e-14
"Taiwan_7035",1.3162390196611e-33,9.58543087992647e-07,0.999999037254556,6.47695555163469e-11,4.97986132281283e-17,6.63643328037032e-17,2.78657420628757e-26,2.5807382845321e-22,3.7485167480426e-15,3.77387528460136e-10,3.72207110512973e-09,3.82562468031973e-12,3.34592829061501e-11,8.39411532705559e-13
"Taiwan_7036",7.49430387399982e-36,3.70393897992475e-05,0.999957641472923,1.00294088329187e-10,1.49415890013845e-19,8.31570474734051e-20,2.18376079741055e-29,4.92775877923484e-23,6.55046269517873e-16,5.99587745028619e-08,1.57536752857903e-07,3.52294949514186e-08,5.06630933207955e-06,2.62890611639563e-12
"Taiwan_7037",7.78292176668484e-30,3.47049207070891e-06,0.999996525888174,2.01667879433559e-10,1.29644592024329e-16,1.62455200021587e-17,2.53273210867516e-23,5.16862762786649e-22,1.34856837776628e-14,3.50398869611396e-10,7.96172365217841e-10,1.67501086161457e-09,5.9649124439183e-10,6.98479708228599e-19
"Taiwan_7038",3.52572204612808e-35,5.65237111766111e-07,0.999999028462528,1.82017174798779e-13,1.84913295754764e-18,4.93139279663312e-19,5.98232566520222e-30,1.5114142877732e-22,6.58731003697538e-17,6.39797296692668e-11,7.99403696111465e-10,3.15732847389087e-08,3.73863509703781e-07,1.49965509033948e-17
"Taiwan_7041",2.64205800583764e-27,3.02278906552253e-05,0.999969746057372,2.41416718426876e-09,3.38018000235176e-14,1.43281455264375e-13,3.09834732005316e-21,1.63837104233808e-17,3.19957467135319e-10,7.58872116007406e-11,2.31882089713838e-08,6.88546390274109e-13,5.28415360236866e-11,4.47570552268099e-14
"Taiwan_7042",7.55099821914112e-34,8.27385914988604e-10,0.999999841294907,8.06236232030193e-09,7.60300229618234e-14,4.9919859095588e-14,2.76431285733147e-27,1.14091492352039e-21,3.91956968254057e-13,1.03621634878631e-09,1.42115454973243e-07,2.08160459372957e-09,4.58155009754147e-09,4.99260805542996e-16
"Taiwan_7044",1.31824931466358e-32,7.5806266828055e-07,0.999999125568165,9.65630036718085e-14,2.66981427680175e-20,6.17303926561453e-20,6.95310143436013e-25,9.01971439356773e-22,4.79496860961556e-13,5.77130986253067e-10,1.14912081853622e-07,8.1316275026833e-12,4.17337074105157e-10,4.539090769883e-10
"Taiwan_7046",1.27871054434361e-30,1.35846613098745e-06,0.999964828304468,6.33410386690167e-06,7.82172677047118e-15,5.47212211671066e-14,6.28023593537985e-25,7.59274472123417e-19,3.34023522205377e-11,3.6081586813083e-07,1.2474606435087e-05,8.22632284208289e-08,1.45614065367597e-05,7.54308373054341e-16
"Taiwan_7047",5.4963597761693e-36,2.18434411927698e-08,0.999999976190412,5.02225410777258e-13,1.62031075930376e-17,2.42024482685621e-17,3.62703757806965e-28,2.41177225528584e-26,2.69284934675907e-17,4.74296012138304e-10,1.42288653029537e-09,6.02693680076619e-13,6.28466324670307e-11,5.01289258643575e-12
"Taiwan_7048",5.9958094908614e-37,1.42369341540576e-09,0.999999998576156,2.86339653421757e-16,6.54416524965157e-25,1.55765957861362e-24,3.16025713712488e-30,1.36852272503216e-25,2.62832398886615e-19,4.71922218421643e-14,7.66031328311379e-14,1.4579819943114e-16,5.71017894044914e-15,2.09345127974257e-14
"Taiwan_7049",2.09946332057394e-40,1.26229876959179e-08,0.999999987215231,2.5865144965721e-12,1.14919320529362e-20,3.38893668713456e-19,3.80527353223313e-33,2.53040044308577e-25,3.72009237412023e-17,1.72220919943366e-11,1.22667498493985e-10,2.51480372493962e-14,1.92589859128898e-11,2.07925505741653e-14
"Taiwan_7051",7.29647331467245e-29,2.51886003762756e-07,0.999999724970538,5.78740558381904e-10,6.66932462121408e-17,6.1546119109249e-16,2.80289507616937e-23,9.3266170733955e-19,1.07747537382475e-10,3.72599239967465e-09,1.79657995088119e-08,2.48136884255809e-11,7.40362356176522e-10,1.03860068689597e-15
"Taiwan_7054",2.87771504265938e-34,7.94391145686666e-09,0.999999991951555,4.54307206516962e-11,1.95730738492255e-16,3.31218300842777e-16,2.41215320519722e-26,1.55391914750038e-25,5.14074126399738e-17,6.0508193886963e-13,5.72663970352309e-11,6.94563421301077e-13,3.73159010887565e-13,1.63326881068364e-13
"Taiwan_7055",3.29759613710554e-29,0.000533011926375353,0.999450260956423,1.41315785810711e-06,1.30450484977712e-15,7.54487950401906e-15,3.20273782903464e-24,3.48636182590276e-15,7.1521427610179e-10,1.30167606459068e-09,1.07649231052633e-05,2.99636226599013e-07,4.24139525851674e-06,5.98785054099204e-09
"Taiwan_7056",3.74539469650203e-32,2.94390247050609e-07,0.999999327382873,2.49609756700843e-15,2.77619971994136e-20,3.90138581771879e-21,3.37006672650357e-26,2.45457652071515e-22,6.10050044293912e-15,1.58336517551059e-07,3.89841744720191e-08,6.35878604396226e-10,1.80261152480089e-07,9.14779965520996e-12
"Taiwan_7057",3.77514777910776e-36,1.22099744898818e-07,0.999999877899282,7.85822721812533e-13,2.92821698024199e-20,6.94948991311119e-19,1.61651037674633e-28,1.53758603260351e-26,1.34493343401929e-18,1.40476581785742e-14,1.61302962180968e-13,7.42341356512657e-16,7.81783491285212e-15,3.57824746855432e-15
"Taiwan_7058",1.27635675063673e-26,0.00149504252173214,0.994779546321863,4.07511244875639e-10,2.37077218519268e-21,1.38658720626535e-22,1.12564406546821e-19,2.45033589214158e-18,3.60263168172487e-11,1.1195192534371e-05,0.000124714336837608,0.000805513459477617,0.00278398755102772,1.72990233375145e-10
"Taiwan_7059",4.47794062870239e-44,3.76730468260034e-05,0.999962326174195,2.36091277421997e-14,1.95362702209343e-25,5.80977995333329e-26,1.03668082411523e-34,9.04277544340173e-30,7.59952889601706e-22,7.03349150948567e-10,1.03337513232284e-11,1.69317213170145e-12,6.19193946438555e-11,1.65923201990723e-12
"Taiwan_7062",2.17128068102089e-34,5.84255667764536e-06,0.99999415299419,4.28078400472349e-09,3.44808337350422e-17,1.81902109120899e-16,1.00665699333474e-25,3.99176920527659e-26,2.26292406057588e-17,1.45166466928293e-11,8.70816292589736e-11,1.96663241509009e-12,6.47830938211021e-11,4.44884251212608e-18
"Hawaii_Oahu_6307",2.13811401957872e-32,7.25037826794128e-15,1.19394819130299e-14,0.999999890617607,1.17645399549421e-09,1.06528186791373e-07,2.7677512940822e-25,1.73203100470443e-20,3.88923349833108e-12,1.40266513799976e-13,1.67293714253565e-09,6.11830580088623e-14,7.05514490607565e-13,6.36031531628016e-22
"Hawaii_Oahu_6322",5.70497555649804e-35,7.28069413404019e-12,5.74527121949122e-11,0.99999999767665,5.74186818678133e-13,1.75978810337343e-11,1.37056258054442e-26,1.65813917422724e-22,4.70551033013712e-13,6.21106438869728e-11,2.16504545063873e-09,6.93080533945858e-13,1.21246013551091e-11,5.67829465630364e-21
"Hawaii_Oahu_6324",5.81932253256978e-34,9.70260975382927e-11,7.61066212747556e-11,0.99999996553132,2.72420762112e-11,2.47409347072444e-10,3.43192210645071e-26,4.19485825960918e-22,4.83703533798411e-14,1.64135369494152e-10,3.35677849144363e-08,3.82464221965463e-11,2.50680559283665e-10,2.99659872702703e-18
"Hawaii_Oahu_6327",4.68845121469773e-34,2.56912472920128e-10,1.96778255829044e-10,0.999999917413992,6.15536204282307e-14,1.0387625971625e-12,2.46172100699014e-27,1.00315172617928e-20,1.40990784142446e-12,1.05813023623116e-09,7.58142558915413e-08,1.52384447815322e-09,3.73357649770044e-09,2.13103165045132e-19
"Hawaii_Oahu_6333",5.92825939627271e-33,1.24958553873711e-13,4.58666050603389e-13,0.999999990701392,1.23267459167607e-10,9.14964697779375e-09,1.49847081033254e-26,2.66251534931732e-20,9.31699519131798e-13,7.29725993174697e-14,2.39073806716206e-11,9.26393241000785e-15,1.88658397909298e-13,1.67535932417243e-25
"Hawaii_Oahu_6338",7.28614628948543e-38,2.53268711338441e-13,8.04900174992459e-13,0.999999966802751,2.01592158021545e-15,1.02776396518121e-13,6.37704105207397e-31,8.54156814506817e-23,8.76983408302854e-15,6.49778653050616e-10,2.92987910181293e-08,1.70404413405318e-10,3.07710300035365e-09,1.16443040991599e-19
"Hawaii_Oahu_6342",1.56500109704705e-34,1.58649625043099e-10,6.76042898410542e-12,0.999999999684035,2.02866016907738e-14,1.34335932415794e-12,1.1488699488387e-25,2.83309323021995e-24,4.10852505722489e-16,2.39720186382308e-12,1.46682624188852e-10,1.82933726088616e-14,9.24412338247073e-14,2.43968845521425e-18
