key,Population,Lat,Lng
328,Kalash,35.99366014,71.5
330,Kalash,35.99366014,71.5
333,Kalash,35.99366014,71.5
130,Makrani,26.0,64.0
131,Makrani,26.0,64.0
133,Makrani,26.0,64.0
134,Makrani,26.0,64.0
135,Makrani,26.0,64.0
136,Makrani,26.0,64.0
137,Makrani,26.0,64.0
139,Makrani,26.0,64.0
140,Makrani,26.0,64.0
141,Makrani,26.0,64.0
143,Makrani,26.0,64.0
144,Makrani,26.0,64.0
145,Makrani,26.0,64.0
146,Makrani,26.0,64.0
148,Makrani,26.0,64.0
149,Makrani,26.0,64.0
150,Makrani,26.0,64.0
151,Makrani,26.0,64.0
153,Makrani,26.0,64.0
154,Makrani,26.0,64.0
155,Makrani,26.0,64.0
157,Makrani,26.0,64.0
158,Makrani,26.0,64.0
160,Makrani,26.0,64.0
161,Makrani,26.0,64.0
213,Pathan,33.48700562,70.5
214,Pathan,33.48700562,70.5
216,Pathan,33.48700562,70.5
218,Pathan,33.48700562,70.5
222,Pathan,33.48700562,70.5
224,Pathan,33.48700562,70.5
226,Pathan,33.48700562,70.5
228,Pathan,33.48700562,70.5
230,Pathan,33.48700562,70.5
232,Pathan,33.48700562,70.5
234,Pathan,33.48700562,70.5
237,Pathan,33.48700562,70.5
239,Pathan,33.48700562,70.5
241,Pathan,33.48700562,70.5
243,Pathan,33.48700562,70.5
244,Pathan,33.48700562,70.5
247,Pathan,33.48700562,70.5
248,Pathan,33.48700562,70.5
251,Pathan,33.48700562,70.5
254,Pathan,33.48700562,70.5
258,Pathan,33.48700562,70.5
259,Pathan,33.48700562,70.5
262,Pathan,33.48700562,70.5
264,Pathan,33.48700562,70.5
163,Sindhi,25.49063551,69.0
165,Sindhi,25.49063551,69.0
167,Sindhi,25.49063551,69.0
169,Sindhi,25.49063551,69.0
171,Sindhi,25.49063551,69.0
173,Sindhi,25.49063551,69.0
175,Sindhi,25.49063551,69.0
177,Sindhi,25.49063551,69.0
179,Sindhi,25.49063551,69.0
181,Sindhi,25.49063551,69.0
183,Sindhi,25.49063551,69.0
185,Sindhi,25.49063551,69.0
187,Sindhi,25.49063551,69.0
189,Sindhi,25.49063551,69.0
191,Sindhi,25.49063551,69.0
192,Sindhi,25.49063551,69.0
195,Sindhi,25.49063551,69.0
197,Sindhi,25.49063551,69.0
199,Sindhi,25.49063551,69.0
201,Sindhi,25.49063551,69.0
203,Sindhi,25.49063551,69.0
205,Sindhi,25.49063551,69.0
206,Sindhi,25.49063551,69.0
208,Sindhi,25.49063551,69.0
210,Sindhi,25.49063551,69.0
490,Melanesian,-6.0,155.0
491,Melanesian,-6.0,155.0
655,Melanesian,-6.0,155.0
656,Melanesian,-6.0,155.0
657,Melanesian,-6.0,155.0
658,Melanesian,-6.0,155.0
660,Melanesian,-6.0,155.0
661,Melanesian,-6.0,155.0
662,Melanesian,-6.0,155.0
663,Melanesian,-6.0,155.0
664,Melanesian,-6.0,155.0
787,Melanesian,-6.0,155.0
788,Melanesian,-6.0,155.0
789,Melanesian,-6.0,155.0
823,Melanesian,-6.0,155.0
824,Melanesian,-6.0,155.0
825,Melanesian,-6.0,155.0
978,Melanesian,-6.0,155.0
1027,Melanesian,-6.0,155.0
540,Papuan,-4.0,143.0
541,Papuan,-4.0,143.0
542,Papuan,-4.0,143.0
543,Papuan,-4.0,143.0
544,Papuan,-4.0,143.0
545,Papuan,-4.0,143.0
546,Papuan,-4.0,143.0
547,Papuan,-4.0,143.0
548,Papuan,-4.0,143.0
549,Papuan,-4.0,143.0
550,Papuan,-4.0,143.0
551,Papuan,-4.0,143.0
552,Papuan,-4.0,143.0
553,Papuan,-4.0,143.0
